,id,fecha,ciudad,Viernes,Sábado,Domingo,Lunes,Martes,Miércoles,Jueves,maxima_semanal,minima_semanal,promedio_maximo,promedio_minimo,temperatura_media
11,04112022004953San Juan ,04/Nov/2022,San Juan ,"['Máx', '11°', '|', 'Mín', '7°']","['Máx', '19°', '|', 'Mín', '9°']","['Máx', '19°', '|', 'Mín', '6°']","['Máx', '17°', '|', 'Mín', '7°']","['Máx', '16°', '|', 'Mín', '6°']","['Máx', '11°', '|', 'Mín', '4°']","['Máx', '10°', '|', 'Mín', '2°']",Sábado 5 : 19°,,14,-7,3.5
12,04112022004954San Luis ,04/Nov/2022,San Luis ,"['Máx', '11°', '|', 'Mín', '7°']","['Máx', '19°', '|', 'Mín', '9°']","['Máx', '19°', '|', 'Mín', '6°']","['Máx', '17°', '|', 'Mín', '7°']","['Máx', '16°', '|', 'Mín', '6°']","['Máx', '11°', '|', 'Mín', '4°']","['Máx', '10°', '|', 'Mín', '2°']",Sábado 5 : 19°,,14,-7,3.5
13,04112022004954Rawson ,04/Nov/2022,Rawson ,"['Máx', '31°', '|', 'Mín', '12°']","['Máx', '33°', '|', 'Mín', '12°']","['Máx', '34°', '|', 'Mín', '14°']","['Máx', '35°', '|', 'Mín', '16°']","['Máx', '36°', '|', 'Mín', '17°']","['Máx', '34°', '|', 'Mín', '14°']","['Máx', '27°', '|', 'Mín', '12°']",Martes 8 : 36°,Viernes 4 : 12°,32,13,22.5
14,04112022004955Santiago del Estero ,04/Nov/2022,Santiago del Estero ,"['Máx', '31°', '|', 'Mín', '12°']","['Máx', '33°', '|', 'Mín', '12°']","['Máx', '34°', '|', 'Mín', '14°']","['Máx', '35°', '|', 'Mín', '16°']","['Máx', '36°', '|', 'Mín', '17°']","['Máx', '34°', '|', 'Mín', '14°']","['Máx', '27°', '|', 'Mín', '12°']",Martes 8 : 36°,Viernes 4 : 12°,32,13,22.5
15,04112022004955La Rioja ,04/Nov/2022,La Rioja ,"['Máx', '28°', '|', 'Mín', '14°']","['Máx', '29°', '|', 'Mín', '12°']","['Máx', '29°', '|', 'Mín', '15°']","['Máx', '27°', '|', 'Mín', '20°']","['Máx', '26°', '|', 'Mín', '10°']","['Máx', '23°', '|', 'Mín', '10°']","['Máx', '20°', '|', 'Mín', '14°']",Sábado 5 : 29°,Viernes 4 : 14°,26,13,19.5
16,04112022004955Neuquén ,04/Nov/2022,Neuquén ,"['Máx', '28°', '|', 'Mín', '14°']","['Máx', '29°', '|', 'Mín', '12°']","['Máx', '29°', '|', 'Mín', '15°']","['Máx', '27°', '|', 'Mín', '20°']","['Máx', '26°', '|', 'Mín', '10°']","['Máx', '23°', '|', 'Mín', '10°']","['Máx', '20°', '|', 'Mín', '14°']",Sábado 5 : 29°,Viernes 4 : 14°,26,13,19.5
17,04112022004956Resistencia ,04/Nov/2022,Resistencia ,"['Máx', '33°', '|', 'Mín', '13°']","['Máx', '35°', '|', 'Mín', '14°']","['Máx', '35°', '|', 'Mín', '16°']","['Máx', '36°', '|', 'Mín', '19°']","['Máx', '37°', '|', 'Mín', '20°']","['Máx', '37°', '|', 'Mín', '20°']","['Máx', '31°', '|', 'Mín', '19°']",Martes 8 : 37°,Viernes 4 : 13°,34,17,25.5
18,04112022004956Río Gallegos ,04/Nov/2022,Río Gallegos ,"['Máx', '33°', '|', 'Mín', '13°']","['Máx', '35°', '|', 'Mín', '14°']","['Máx', '35°', '|', 'Mín', '16°']","['Máx', '36°', '|', 'Mín', '19°']","['Máx', '37°', '|', 'Mín', '20°']","['Máx', '37°', '|', 'Mín', '20°']","['Máx', '31°', '|', 'Mín', '19°']",Martes 8 : 37°,Viernes 4 : 13°,34,17,25.5
19,04112022004957Corrientes ,04/Nov/2022,Corrientes ,"['Máx', '29°', '|', 'Mín', '12°']","['Máx', '30°', '|', 'Mín', '13°']","['Máx', '31°', '|', 'Mín', '14°']","['Máx', '31°', '|', 'Mín', '16°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '18°']",Miércoles 9 : 32°,Viernes 4 : 12°,30,14,22.0
20,04112022004957Santa Rosa ,04/Nov/2022,Santa Rosa ,"['Máx', '29°', '|', 'Mín', '12°']","['Máx', '30°', '|', 'Mín', '13°']","['Máx', '31°', '|', 'Mín', '14°']","['Máx', '31°', '|', 'Mín', '16°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '15°']","['Máx', '32°', '|', 'Mín', '18°']",Miércoles 9 : 32°,Viernes 4 : 12°,30,14,22.0
21,04112022004958San Miguel de Tucumán ,04/Nov/2022,San Miguel de Tucumán ,"['Máx', '29°', '|', 'Mín', '12°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '16°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '20°']",Miércoles 9 : 31°,Viernes 4 : 12°,30,15,22.5
22,04112022004958San Fernando del Valle de Catamarca ,04/Nov/2022,San Fernando del Valle de Catamarca ,"['Máx', '29°', '|', 'Mín', '12°']","['Máx', '30°', '|', 'Mín', '14°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '30°', '|', 'Mín', '16°']","['Máx', '30°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '15°']","['Máx', '31°', '|', 'Mín', '20°']",Miércoles 9 : 31°,Viernes 4 : 12°,30,15,22.5
